City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Bluff,72,NZ,1612569238,73,-46.6,168.3333,59.52,2.82
Talcahuano,90,CL,1612569238,88,-36.7167,-73.1167,60.8,9.22
Katherine,90,AU,1612569238,88,-14.4667,132.2667,77.0,5.75
Iqaluit,75,CA,1612569238,86,63.7506,-68.5145,23.0,27.63
Mar del Plata,0,AR,1612569012,49,-38.0023,-57.5575,69.8,5.75
Curup,82,ID,1612569238,93,-3.4667,102.5333,68.36,3.67
Tuktoyaktuk,75,CA,1612569238,68,69.4541,-133.0374,-31.0,8.05
Hilo,1,US,1612569238,57,19.7297,-155.09,78.8,11.5
Homer,90,US,1612569238,93,59.6425,-151.5483,26.01,5.75
Marawi,97,PH,1612569238,81,7.9986,124.2928,71.53,1.41
San Patricio,90,US,1612569238,67,28.017,-97.5169,60.8,12.66
Vallenar,27,CL,1612569240,56,-28.5708,-70.7581,67.37,3.38
Bambous Virieux,75,MU,1612569240,83,-20.3428,57.7575,77.0,3.44
Tiarei,75,PF,1612569240,69,-17.5333,-149.3333,82.4,4.61
Nikolskoye,75,RU,1612569240,78,59.7035,30.7861,12.0,11.18
Clyde River,90,CA,1612569240,76,70.4692,-68.5914,-14.8,11.5
Ouésso,0,CG,1612569240,71,1.6136,16.0517,75.2,2.24
Anju,96,KP,1612569240,94,39.6178,125.6647,33.67,3.09
San Francisco del Mar Viejo,1,MX,1612569240,68,16.2333,-94.65,77.95,8.88
Codrington,17,AU,1612569240,70,-38.2667,141.9667,63.79,15.7
Praxédis Guerrero,1,MX,1612569240,14,31.3667,-106.0167,66.2,13.8
Nanortalik,0,GL,1612569241,74,60.1432,-45.2371,20.66,3.78
Busselton,95,AU,1612569241,76,-33.65,115.3333,61.0,3.0
Balkhash,99,KZ,1612569241,98,46.844,74.9804,21.74,6.33
Cape Town,0,ZA,1612568954,88,-33.9258,18.4232,69.01,18.41
Kavaratti,3,IN,1612569241,76,10.5669,72.642,80.42,13.6
Cabo San Lucas,1,MX,1612569241,34,22.8909,-109.9124,82.4,10.36
Vrangel',29,RU,1612569241,92,42.7297,133.0839,26.1,7.4
Ushuaia,75,AR,1612569130,76,-54.8,-68.3,46.4,25.32
Sinnamary,80,GF,1612569242,86,5.3833,-52.95,77.52,15.19
Am Timan,14,TD,1612569242,21,11.0297,20.2827,71.33,8.81
Mingora,0,PK,1612569242,50,34.7758,72.3625,42.58,5.79
Lebu,3,CL,1612569242,89,-37.6167,-73.65,59.61,5.64
Saint George,1,US,1612569242,23,37.1041,-113.5841,60.01,24.16
Hithadhoo,100,MV,1612569242,79,-0.6,73.0833,82.2,13.29
Cherskiy,1,RU,1612569242,77,68.75,161.3,-16.04,0.4
Belyy Yar,99,RU,1612569242,85,53.6039,91.3903,3.2,2.24
Arraial do Cabo,100,BR,1612569243,93,-22.9661,-42.0278,75.97,7.99
Tautira,75,PF,1612569243,69,-17.7333,-149.15,82.4,4.61
Dikson,5,RU,1612569243,84,73.5069,80.5464,-32.1,11.01
Beloha,95,MG,1612569243,94,-25.1667,45.05,75.06,3.6
Lermontovka,100,RU,1612569243,91,47.1453,134.3383,-3.08,2.51
Charlestown,100,AU,1612569243,80,-32.95,151.6667,77.0,7.9
Tāybād,92,IR,1612569243,42,34.74,60.7756,49.87,9.04
Hermanus,4,ZA,1612569243,88,-34.4187,19.2345,66.99,1.99
Harper,0,LR,1612569243,89,4.375,-7.7169,79.32,8.86
Half Moon Bay,40,US,1612569244,87,37.4636,-122.4286,64.4,11.5
Hasaki,40,JP,1612569244,87,35.7333,140.8333,37.4,3.44
Tasiilaq,75,GL,1612569244,50,65.6145,-37.6368,24.8,2.3
Kavieng,92,PG,1612569244,71,-2.5744,150.7967,83.32,5.53
Almaznyy,75,RU,1612569244,74,48.0448,40.045,23.0,15.66
Caravelas,97,BR,1612569244,80,-17.7125,-39.2481,80.2,14.56
Presidencia Roque Sáenz Peña,0,AR,1612569244,47,-26.7852,-60.4388,72.95,5.79
Provideniya,100,RU,1612569244,92,64.3833,-173.3,8.22,11.05
Santa Cruz de la Sierra,75,BO,1612569244,51,-17.8,-63.1667,84.2,4.61
Rāzole,17,IN,1612569245,87,16.4833,81.8333,61.02,3.8
Husavik,0,IS,1612569246,68,66.0449,-17.3389,24.8,2.3
Lorengau,75,PG,1612569246,68,-2.0226,147.2712,84.11,6.38
Ilulissat,2,GL,1612569246,36,69.2167,-51.1,8.6,11.5
Khatanga,20,RU,1612569247,79,71.9667,102.5,-33.2,7.67
Bethel,1,US,1612569207,86,41.3712,-73.414,36.0,3.44
Quatre Cocos,75,MU,1612569247,83,-20.2078,57.7625,77.0,3.44
Lingyuan,30,CN,1612569247,90,41.24,119.4011,25.3,4.09
Guerrero Negro,0,MX,1612569247,49,27.9769,-114.0611,64.94,17.81
Kuusamo,75,FI,1612569247,85,65.9667,29.1833,12.2,8.05
Qaanaaq,100,GL,1612569247,78,77.484,-69.3632,-3.46,7.63
Chui,46,UY,1612569248,83,-33.6971,-53.4616,61.12,7.9
George Town,20,MY,1612569119,83,5.4112,100.3354,79.0,6.24
Oroquieta,85,PH,1612569248,83,8.4858,123.8044,79.81,1.59
Saldanha,0,ZA,1612569248,88,-33.0117,17.9442,62.6,6.91
Saskylakh,87,RU,1612569248,83,71.9167,114.0833,-30.51,5.32
Dunda,98,TZ,1612569248,94,-8.1167,34.25,65.8,2.98
Kumul,81,CN,1612569195,85,42.8,93.45,27.61,4.61
Gornopravdinsk,100,RU,1612569248,98,60.05,69.9,31.08,9.08
Pińczów,100,PL,1612569248,50,50.5205,20.5265,30.0,5.01
Karanpura,0,IN,1612569249,59,29.1018,75.092,52.95,3.67
Albany,85,US,1612569010,67,42.6001,-73.9662,37.99,6.82
Andenes,100,NO,1612569249,74,69.3143,16.1194,32.0,29.93
Cansanção,88,BR,1612569249,46,-10.6672,-39.4992,82.36,8.5
Hibbing,90,US,1612569249,66,47.4272,-92.9377,1.4,19.57
Airai,100,TL,1612569249,100,-8.9266,125.4092,62.92,3.83
Butaritari,81,KI,1612569249,80,3.0707,172.7902,81.7,19.01
Sitka,90,US,1612569249,93,57.0531,-135.33,37.4,5.75
Port Augusta,90,AU,1612569249,60,-32.5,137.7667,69.8,13.8
Izhma,100,RU,1612569250,87,65.0083,53.9113,-15.63,9.53
Turinsk,100,RU,1612569250,97,58.0458,63.696,34.27,13.44
Neiafu,75,TO,1612569250,83,-18.65,-173.9833,82.4,10.36
Trincomalee,70,LK,1612569250,82,8.5711,81.2335,77.52,12.1
Geraldton,90,AU,1612569250,88,-28.7667,114.6,60.8,28.77
Mbanza-Ngungu,100,CD,1612569250,95,-5.25,14.8667,70.54,2.04
Balabac,96,PH,1612569250,79,7.9868,117.0645,81.09,8.46
Lavrentiya,100,RU,1612569251,93,65.5833,-171.0,3.18,13.44
Avarua,20,CK,1612569251,70,-21.2078,-159.775,86.0,13.8
Hamilton,20,US,1612569251,48,39.1834,-84.5333,35.6,12.66
Port Elizabeth,90,ZA,1612569027,94,-33.918,25.5701,69.8,8.05
Erenhot,100,CN,1612569251,93,43.6475,111.9767,13.32,2.98
Micheweni,3,TZ,1612569251,78,-4.9667,39.8333,79.61,6.44
East London,99,ZA,1612569251,89,-33.0153,27.9116,73.62,10.02
Zaplavnoye,75,RU,1612569251,68,48.7048,45.0229,23.0,29.08
Rincon,90,US,1612569251,77,32.296,-81.2354,59.0,9.22
Saint-Philippe,0,RE,1612569251,65,-21.3585,55.7679,78.8,6.91
Kahului,40,US,1612569252,64,20.8947,-156.47,73.4,11.5
Sahuaripa,0,MX,1612569252,19,29.05,-109.2333,76.71,4.99
Vaini,75,TO,1612569253,84,-21.2,-175.2,84.2,6.91
Tashtyp,100,RU,1612569253,94,52.7939,89.8983,16.97,0.29
Kieta,46,PG,1612569253,71,-6.2167,155.6333,84.67,7.38
Bengkulu,89,ID,1612569253,81,-3.8004,102.2655,76.32,4.68
Revelstoke,1,CA,1612569253,60,50.9832,-118.2023,39.2,6.91
Santiago,0,CL,1612569250,56,-33.4569,-70.6483,75.99,5.75
Hong Kong,0,HK,1612569207,81,22.2855,114.1577,64.99,5.26
Gandajika,100,CD,1612569254,90,-6.75,23.95,69.6,1.7
Bontang,100,ID,1612569254,85,0.1333,117.5,77.32,3.58
Tynda,47,RU,1612569254,82,55.1667,124.7167,-23.91,3.83
Bechem,45,GH,1612569254,85,7.0903,-2.025,75.07,3.42
Sur,0,OM,1612569254,62,22.5667,59.5289,63.95,7.05
Sungai Penuh,85,ID,1612569254,93,-2.0833,101.3833,64.29,4.29
Mount Isa,100,AU,1612569254,48,-20.7333,139.5,84.2,11.5
Kiunga,100,PG,1612569254,69,-6.1219,141.2906,83.89,3.06
Tiksi,100,RU,1612569254,89,71.6872,128.8694,-17.46,9.95
Coquimbo,40,CL,1612569255,82,-29.9533,-71.3436,62.6,11.5
Khislavichi,80,RU,1612569255,94,54.1871,32.1582,2.39,8.14
Don Benito,90,ES,1612569255,92,38.9563,-5.8616,48.99,8.01
Port Hedland,40,AU,1612569255,89,-20.3167,118.5667,78.8,5.75
Pangnirtung,90,CA,1612569255,86,66.1451,-65.7125,19.4,4.61
Yellowknife,90,CA,1612569255,68,62.456,-114.3525,-31.0,11.5
Vila Velha,75,BR,1612569255,74,-20.3297,-40.2925,82.4,11.5
Castro,0,BR,1612569255,58,-24.7911,-50.0119,61.0,1.74
Kiryat Gat,39,IL,1612569255,100,31.61,34.7642,59.0,2.39
Necochea,0,AR,1612569255,46,-38.5473,-58.7368,75.99,9.6
Orán,34,AR,1612569256,75,-23.1322,-64.326,78.01,5.01
Lompoc,1,US,1612569256,40,34.6391,-120.4579,68.0,16.11
Thompson,75,CA,1612569256,63,55.7435,-97.8558,-18.4,14.97
Lumby,36,CA,1612569256,57,50.2498,-118.969,44.6,2.3
Bismil,0,TR,1612569256,100,37.8486,40.6658,39.2,4.38
Mahébourg,75,MU,1612569083,83,-20.4081,57.7,77.0,3.44
Wajima,75,JP,1612569256,93,37.4,136.9,41.0,10.36
Christchurch,75,NZ,1612569223,59,-43.5333,172.6333,64.4,17.27
Phuket,20,TH,1612569256,73,8.0,98.25,78.8,11.5
Tubualá,20,PA,1612569256,62,9.5167,-79.0333,86.0,10.36
Beeville,90,US,1612569022,59,28.4008,-97.7483,63.0,9.22
Lugazi,20,UG,1612569257,88,0.3772,32.9197,69.8,3.44
Souillac,75,MU,1612569257,83,-20.5167,57.5167,77.0,3.44
Jamestown,90,US,1612569257,63,42.097,-79.2353,23.0,14.97
Yangi Marg`ilon,100,UZ,1612569257,42,40.4272,71.7189,41.0,6.91
Pevek,25,RU,1612569257,85,69.7008,170.3133,-16.29,1.07
Pacific Grove,1,US,1612569257,62,36.6177,-121.9166,57.2,6.91
Norman Wells,75,CA,1612569257,68,65.282,-126.8329,-27.4,2.3
Upington,0,ZA,1612569257,23,-28.4478,21.2561,71.6,4.61
Byron Bay,75,AU,1612569003,73,-28.65,153.6167,78.8,2.3
Quelimane,20,MZ,1612569259,89,-17.8786,36.8883,82.4,2.3
Lesozavodsk,98,RU,1612569259,93,45.4794,133.4244,1.65,6.42
Babu,0,CN,1612569259,74,24.4167,111.5167,57.67,2.39
Ancud,0,CL,1612568977,38,-41.8697,-73.8203,78.8,14.97
Carnarvon,90,AU,1612569259,100,-24.8667,113.6333,80.6,24.16
Tigil',52,RU,1612569259,89,57.8,158.6667,-0.8,2.04
Livermore,1,US,1612569259,30,37.6819,-121.768,66.2,5.75
Chicama,75,PE,1612569259,88,-7.8447,-79.1469,69.8,8.05
Constitución,18,CL,1612569259,87,-35.3333,-72.4167,58.01,1.59
Gouyave,20,GD,1612569260,78,12.1646,-61.7296,78.8,23.02
Kruisfontein,42,ZA,1612569260,86,-34.0033,24.7314,72.0,1.99
Sabha,1,LY,1612569260,34,27.0377,14.4283,58.1,10.27
Smolyaninovo,28,RU,1612569260,79,43.2956,132.4675,14.0,6.71
São Filipe,25,CV,1612569260,77,14.8961,-24.4956,69.42,12.19
Saint-Joseph,0,RE,1612569260,65,-21.3667,55.6167,78.8,6.91
Kargil,0,IN,1612569260,66,34.5667,76.1,-11.34,1.74
Srednekolymsk,6,RU,1612569260,84,67.45,153.6833,-23.48,0.54
Gračac,75,HR,1612569261,82,44.3006,15.8547,55.0,5.75
Cabedelo,20,BR,1612569261,83,-6.9811,-34.8339,78.8,5.75
Saint Paul Harbor,40,US,1612569261,70,57.79,-152.4072,39.2,9.22
Lüderitz,0,NA,1612569261,51,-26.6481,15.1594,70.75,20.22
Lishui,64,CN,1612569261,82,28.4604,119.9103,57.11,1.68
Normandin,90,CA,1612569261,93,48.8333,-72.5321,21.2,8.05
Socorro,1,US,1612569261,14,31.6546,-106.3033,66.2,13.8
Ustka,99,PL,1612569261,95,54.5805,16.8619,26.78,11.34
Kulachi,0,PK,1612569261,67,31.9286,70.4592,50.31,0.31
Broken Hill,0,AU,1612569262,52,-31.95,141.4333,69.8,18.41
Narsaq,0,GL,1612569262,49,60.9167,-46.05,17.6,2.3
Hokitika,100,NZ,1612569262,71,-42.7167,170.9667,64.69,5.84
Boueni,0,YT,1612569262,83,-12.9025,45.0761,80.6,2.3
Nuuk,20,GL,1612569217,73,64.1835,-51.7216,17.6,17.27
Margate,11,GB,1612569262,91,51.3813,1.3862,44.01,6.51
Bredasdorp,7,ZA,1612569262,94,-34.5322,20.0403,60.8,2.3
Sola,53,VU,1612569262,79,-13.8833,167.55,81.43,11.25
Durban,0,ZA,1612569262,88,-29.8579,31.0292,75.99,1.14
Moa,32,CU,1612569262,84,20.6569,-74.9403,75.16,12.06
Cidreira,15,BR,1612569263,70,-30.1811,-50.2056,68.14,15.14
Turukhansk,100,RU,1612569263,86,65.8167,87.9833,-26.75,6.26
Chokurdakh,99,RU,1612569263,87,70.6333,147.9167,-17.43,11.88
Los Llanos de Aridane,0,ES,1612569263,48,28.6585,-17.9182,60.8,14.97
Grand Gaube,11,MU,1612569263,80,-20.0064,57.6608,75.99,3.0
Kaitangata,44,NZ,1612569263,70,-46.2817,169.8464,62.01,7.0
Mackay,75,AU,1612569264,83,-21.15,149.2,81.0,4.61
Chotila,0,IN,1612569265,35,22.4167,71.1833,57.11,9.93
Lata,100,PT,1612569265,96,40.1629,-8.3327,51.01,2.62
Forsytheganj,81,BY,1612569265,96,52.6333,29.7333,12.85,7.99
Inuvik,52,CA,1612569265,76,68.3499,-133.7218,-22.0,2.3
Palmer,20,US,1612569265,80,42.1584,-72.3287,35.6,5.3
Adolfo López Mateos,0,MX,1612569265,28,28.4667,-107.3,60.46,17.63
Nantucket,90,US,1612569080,100,41.2835,-70.0995,41.0,5.75
Tocopilla,75,CL,1612569265,62,-22.092,-70.1979,68.22,3.31
Raja,51,SS,1612569265,26,8.4596,25.678,65.98,6.6
Nuevo Laredo,1,MX,1612569062,40,27.4763,-99.5164,71.6,9.22
Comodoro Rivadavia,0,AR,1612569265,55,-45.8667,-67.5,62.6,13.8
Castlegar,19,CA,1612569265,49,49.2998,-117.6689,42.8,5.75
Hirara,20,JP,1612569266,82,24.8,125.2833,62.6,4.61
Ampanihy,78,MG,1612569266,88,-24.7,44.75,76.06,3.2
Mina,1,MX,1612569266,17,26.0011,-100.5299,80.6,9.01
Eureka,1,US,1612569266,83,40.8021,-124.1637,57.0,10.0
Tandil,0,AR,1612568968,28,-37.3217,-59.1332,71.47,2.8
Aripuanã,99,BR,1612569266,91,-9.1667,-60.6333,75.49,2.59
Grindavik,40,IS,1612569266,80,63.8424,-22.4338,35.6,17.27
Digras,15,IN,1612569266,47,20.1167,77.7167,61.77,5.03
Conceição da Barra,98,BR,1612569267,78,-18.5933,-39.7322,80.53,15.95
Nome,90,US,1612569267,79,64.5011,-165.4064,15.8,28.77
Padang,20,ID,1612569267,94,-0.9492,100.3543,73.4,2.3
Cap Malheureux,11,MU,1612569267,80,-19.9842,57.6142,75.99,3.0
Delta del Tigre,0,UY,1612569267,64,-34.7633,-56.3853,68.0,6.91
Prince George,75,CA,1612569267,80,53.9166,-122.753,28.99,6.91
Bilma,0,NE,1612569267,28,18.6853,12.9164,63.12,8.32
Yeppoon,39,AU,1612569267,51,-23.1333,150.7333,86.0,6.91
Kendari,31,ID,1612569267,80,-3.945,122.4989,80.74,1.79
Pinawa,100,CA,1612569267,90,50.1489,-95.8811,-3.95,12.62
Ouango,4,CF,1612569268,80,4.3133,22.5552,70.66,1.39
Riyadh,20,SA,1612569268,28,24.6877,46.7219,69.8,6.91
Yulara,9,AU,1612569268,28,-25.2406,130.9889,73.4,16.11
Labé,7,GN,1612569268,27,11.3182,-12.2833,66.02,1.86
Mehrān,90,IR,1612569268,100,33.1222,46.1646,41.0,2.3
Rocha,2,UY,1612569268,85,-34.4833,-54.3333,59.07,5.01
Sarangani,100,PH,1612569268,74,5.4033,125.4636,81.97,16.15
Acapulco de Juárez,1,MX,1612569128,61,16.8634,-99.8901,84.2,4.61
Ciudad Real,100,ES,1612569268,93,39.0,-4.0,48.0,4.34
Werda,38,BW,1612569268,84,-25.2667,23.2833,68.34,8.59
Horki,80,BY,1612569269,94,54.2861,30.9842,1.62,8.37
Lafiagi,1,NG,1612569269,18,8.8667,5.4167,82.31,4.38
Hofn,100,IS,1612569269,78,64.2539,-15.2082,37.26,16.78
Tagusao,100,PH,1612569269,81,9.1924,117.8141,79.84,5.46
Namatanai,100,PG,1612569269,89,-3.6667,152.4333,76.93,8.61
La Ronge,95,CA,1612569269,63,55.1001,-105.2842,-18.4,12.66
Plaster Rock,90,CA,1612569269,80,46.9065,-67.39,26.6,4.61
Puerto Escondido,75,MX,1612569207,69,15.85,-97.0667,82.4,9.22
Vanimo,99,PG,1612569270,80,-2.6741,141.3028,79.05,4.56
Hudson Bay,97,CA,1612569271,85,52.85,-102.3842,-17.63,5.91
Breves,65,BR,1612569271,78,-1.6822,-50.4803,79.68,6.6
Boyolangu,82,ID,1612569271,86,-8.1181,111.8935,76.78,6.51
Young,0,UY,1612569271,53,-32.6833,-57.6333,72.0,1.99
Aklavik,20,CA,1612569271,75,68.2191,-135.0107,-32.8,3.44
Ji’an,24,CN,1612569271,81,27.1172,114.9793,52.18,4.63
Verkhnyaya Inta,90,RU,1612569271,89,65.9811,60.3094,-14.53,8.95
Fortuna,90,US,1612569271,93,40.5982,-124.1573,52.0,19.57
San Vicente,0,AR,1612569271,71,-26.6167,-54.1333,62.11,3.91
Horadiz,75,AZ,1612569272,62,39.4488,47.3353,51.8,4.61
Nhulunbuy,90,AU,1612569272,89,-12.2333,136.7667,78.8,11.5
Pacocha,82,PE,1612569272,81,-17.5833,-71.3333,68.85,1.79
Luanda,0,AO,1612569266,83,-8.8368,13.2343,78.8,9.22
Jiujiang,0,CN,1612569272,87,29.7333,115.9833,44.74,5.08
Alvand,100,IR,1612569272,87,36.3187,49.1678,38.57,7.11
Longyearbyen,75,SJ,1612569272,69,78.2186,15.6401,28.4,16.11
Pamanukan,100,ID,1612569272,89,-6.2842,107.8106,77.38,7.63
Río Gallegos,20,AR,1612569272,29,-51.6226,-69.2181,59.0,25.32
Ribeira Grande,94,PT,1612569272,84,38.5167,-28.7,59.05,12.75
Angoram,66,PG,1612569273,75,-4.0625,144.0661,82.27,3.29
Santoña,75,ES,1612569273,100,43.4439,-3.4576,53.6,11.5
Kadugannawa,92,LK,1612569273,94,7.2547,80.5242,63.75,4.23
Potosí,83,BO,1612569273,76,-19.5836,-65.7531,50.43,6.82
San Quintín,0,MX,1612569273,72,30.4833,-115.95,60.64,13.42
Sechura,13,PE,1612569273,60,-5.5569,-80.8222,79.07,16.89
Port Lincoln,90,AU,1612569273,76,-34.7333,135.8667,64.78,15.86
Kalianget,100,ID,1612569273,83,-7.05,113.9333,79.72,12.77
Martinez,0,US,1612569198,55,38.0194,-122.1341,64.0,2.71
Pascagoula,90,US,1612569273,81,30.3658,-88.5561,48.2,11.5
Tateyama,77,JP,1612569274,63,34.9833,139.8667,46.0,4.0
Tuatapere,90,NZ,1612569274,65,-46.1333,167.6833,67.28,5.68
Ubinskoye,92,RU,1612569274,98,55.3068,79.6802,16.72,6.67
Xichang,0,CN,1612569274,74,27.8964,102.2634,38.57,0.58
Lagoa,99,PT,1612569274,87,39.05,-27.9833,58.5,16.98
Chapais,90,CA,1612569274,80,49.7834,-74.8492,23.0,12.66
Leningradskiy,100,RU,1612569274,87,69.3833,178.4167,-9.67,8.23
Thunder Bay,90,CA,1612569053,71,48.4001,-89.3168,1.4,11.5
Butembo,100,CD,1612569274,85,0.15,29.2833,61.3,2.44
Isangel,20,VU,1612569275,79,-19.55,169.2667,84.2,3.44
Nurlat,99,RU,1612569275,97,54.4277,50.8051,14.85,9.71
Fuerte Olimpo,11,PY,1612569275,59,-21.0415,-57.8738,74.21,5.17
Novoagansk,100,RU,1612569275,96,61.9449,76.6625,10.67,8.88
Parintins,55,BR,1612569275,64,-2.6283,-56.7358,81.91,2.91
Lityn,71,UA,1612569276,93,49.3251,28.0809,21.51,3.76
Port-Gentil,20,GA,1612569276,100,-0.7193,8.7815,78.8,8.95
Klaksvík,75,FO,1612569276,100,62.2266,-6.589,32.0,14.97
Faya,0,SA,1612569276,43,18.3851,42.4509,55.4,16.11
Shelburne,96,CA,1612569277,88,44.0787,-80.2041,18.0,17.74
Corning,90,US,1612569277,41,42.1428,-77.0547,37.4,12.66
Prainha,73,BR,1612569277,64,-1.8,-53.48,81.27,3.85
Katsuura,40,JP,1612569277,53,35.1333,140.3,46.4,4.61
Deputatsky,92,RU,1612569277,88,69.3,139.9,-24.2,2.13
Taoudenni,94,ML,1612569277,19,22.6783,-3.9836,77.2,10.31
Tucupita,93,VE,1612569277,85,9.0622,-62.051,74.26,5.7
Örnsköldsvik,0,SE,1612569277,92,63.2909,18.7153,12.2,10.36
Avera,1,US,1612569277,50,33.194,-82.5271,51.8,8.05
Talnakh,84,RU,1612569278,83,69.4865,88.3972,-27.47,4.56
Chifeng,29,CN,1612569278,90,42.2683,118.9636,16.16,5.1
Nanga Eboko,89,CM,1612569278,38,4.6833,12.3667,69.67,2.51
Port Hardy,75,CA,1612569000,70,50.6996,-127.4199,44.6,8.05
Puerto Baquerizo Moreno,99,EC,1612569278,85,-0.9,-89.6,76.89,10.45
Vir,75,HR,1612569278,82,44.3031,15.0853,53.6,5.75
Boyuibe,90,BO,1612569278,73,-20.4167,-63.2833,77.0,4.21
Batemans Bay,100,AU,1612569278,90,-35.7167,150.1833,72.0,15.99
Buraidah,75,SA,1612569096,94,26.326,43.975,53.6,10.36
Morón,0,AR,1612569278,66,-34.6534,-58.6198,73.0,3.0
Carnduff,62,CA,1612569278,85,49.1667,-101.8009,-14.71,10.0
Paredon,0,MX,1612569279,58,16.0333,-93.8667,78.31,4.5
Panabá,0,MX,1612569279,72,21.2833,-88.2667,75.9,9.24
Abomsa,90,ET,1612569279,35,9.9833,39.9833,64.04,2.3
North Port,0,US,1612569279,80,27.0442,-82.2359,71.01,7.27
Juneau,90,US,1612569279,86,58.3019,-134.4197,24.8,4.52
Walvis Bay,54,NA,1612569279,94,-22.9575,14.5053,64.99,5.75
Upernavik,59,GL,1612569279,70,72.7868,-56.1549,3.45,5.55
Beringovskiy,100,RU,1612569279,88,63.05,179.3167,-5.44,8.21
Suntar,43,RU,1612569279,80,62.1444,117.6319,-38.54,2.91
Ilām,43,NP,1612569280,59,26.9167,87.9167,50.43,3.2
Simbahan,100,PH,1612569280,78,6.3032,120.5836,81.25,8.03
Vung Tau,56,VN,1612569280,80,10.346,107.0843,74.73,10.65
Egvekinot,100,RU,1612569280,93,66.3167,-179.1667,-9.44,14.92
Yola,0,NG,1612569148,21,9.2,12.4833,73.27,2.08
Kupang,90,ID,1612569280,100,-10.1667,123.5833,77.0,3.44
Arman',87,RU,1612569280,82,59.7,150.1667,-5.3,10.85
Kathmandu,75,NP,1612569280,81,27.7167,85.3167,46.4,2.3
Minas,20,UY,1612569281,77,-34.3759,-55.2377,66.2,5.75
Oriximiná,48,BR,1612569281,64,-1.7656,-55.8661,83.25,3.15
Inongo,95,CD,1612569281,83,-1.95,18.2667,75.04,3.31
Weiser,20,US,1612569282,37,44.251,-116.9693,53.6,16.11
Wichian Buri,26,TH,1612569283,64,15.6578,101.106,69.48,5.68
Bosaso,1,SO,1612569283,72,11.2842,49.1816,71.83,7.07
Labuhan,98,ID,1612569283,84,-6.8844,112.2051,78.73,9.26
Sobolevo,73,RU,1612569283,93,54.4299,31.8996,1.15,8.25
Puławy,100,PL,1612569283,91,51.4166,21.9694,25.0,4.09
Weligama,51,LK,1612569283,88,5.9667,80.4167,73.69,4.47
Nakhon Thai,0,TH,1612569283,82,17.1006,100.8374,66.2,3.53
Tabuk,25,PH,1612569283,83,17.4189,121.4443,70.68,1.72
College,75,US,1612569284,70,64.8569,-147.8028,-5.8,3.44
Wilmington Island,90,US,1612569284,88,32.0036,-80.9737,59.0,9.22
